x,similarity,locality,primer
0.276,0.519191185,FennoScandian Shield,v6
0.214,0.583370888,FennoScandian Shield,v6
0.127,0.576827897,FennoScandian Shield,v6
0.051,0.583078011,FennoScandian Shield,v6
0.502,0.573476703,FennoScandian Shield,v6
0.263,0.604996008,FennoScandian Shield,v6
0.044,0.31703854,FennoScandian Shield,v6
0.397,0.219967087,FennoScandian Shield,v6
0.119,0.558759831,FennoScandian Shield,v6
0.109,0.581959491,FennoScandian Shield,v6
0.032,0.523061945,FennoScandian Shield,v6
8437.426088,0.017286085,different regions,different primers
8437.426088,0.032309154,different regions,different primers
8437.426088,0.028311097,different regions,different primers
8437.426088,0.032649103,different regions,different primers
8437.426088,0.049159531,different regions,different primers
8437.426088,0.037920889,different regions,different primers
8437.426088,0.072699542,different regions,different primers
8437.426088,0.080364847,different regions,different primers
8437.426088,0.033151003,different regions,different primers
7168.368635,0.001456134,different regions,different primers
7580.591277,0.026260504,different regions,different primers
7580.591277,0.029513889,different regions,different primers
7580.591277,0.023562511,different regions,different primers
7580.591277,0.027730808,different regions,different primers
7580.591277,0.017054539,different regions,different primers
7580.591277,0.01171875,different regions,different primers
9929.14603,0.469141997,different regions,v6
9929.14603,0.499942429,different regions,v6
9731.079829,0.527274907,different regions,v6
9934.233625,0.538424242,different regions,v6
9900.272406,0.581778976,different regions,v6
9554.223656,0.565311889,different regions,v6
9730.357717,0.52508918,different regions,v6
1977.090527,0.007570296,different regions,different primers
1977.090527,0.005429864,different regions,different primers
1977.090527,0.007946541,different regions,different primers
1977.246899,0.009012257,different regions,different primers
1977.246899,0.007927928,different regions,different primers
1977.246899,0.009335727,different regions,different primers
1977.246899,0.008650207,different regions,different primers
1977.090527,0.016117479,different regions,different primers
1977.090527,0.012551551,different regions,different primers
1977.090527,0.011514933,different regions,different primers
1977.246899,0.013948498,different regions,different primers
1977.246899,0.013622513,different regions,different primers
1977.246899,0.017456359,different regions,different primers
1977.246899,0.015053763,different regions,different primers
0.103,0.033921772,FennoScandian Shield,different primers
0.031,0.022610846,FennoScandian Shield,different primers
0.276,0.519191185,FennoScandian Shield,v6
0.062,0.554751568,FennoScandian Shield,v6
0.149,0.568907428,FennoScandian Shield,v6
0.225,0.544518785,FennoScandian Shield,v6
0.226,0.563865412,FennoScandian Shield,v6
0.013,0.572831424,FennoScandian Shield,v6
0.232,0.270720533,FennoScandian Shield,v6
0.121,0.26364617,FennoScandian Shield,v6
0.157,0.575212557,FennoScandian Shield,v6
0.167,0.600514139,FennoScandian Shield,v6
0.244,0.632733813,FennoScandian Shield,v6
8437.426088,0.021099744,different regions,different primers
8437.426088,0.038282745,different regions,different primers
8437.426088,0.031527658,different regions,different primers
8437.426088,0.039660057,different regions,different primers
8437.426088,0.043299534,different regions,different primers
8437.426088,0.039872869,different regions,different primers
8437.426088,0.069468432,different regions,different primers
8437.426088,0.070014663,different regions,different primers
8437.426088,0.029620853,different regions,different primers
7168.368635,0.00352485,different regions,different primers
7580.591277,0.035351882,different regions,different primers
7580.591277,0.03673864,different regions,different primers
7580.591277,0.032343234,different regions,different primers
7580.591277,0.035615597,different regions,different primers
7580.591277,0.01615074,different regions,different primers
7580.591277,0.015462185,different regions,different primers
9929.14603,0.594920038,different regions,v6
9929.14603,0.586927671,different regions,v6
9731.079829,0.539408867,different regions,v6
9934.233625,0.566422314,different regions,v6
9900.272406,0.561498942,different regions,v6
9554.223656,0.555844156,different regions,v6
9730.357717,0.544411611,different regions,v6
1977.090527,0.006226219,different regions,different primers
1977.090527,0.005578801,different regions,different primers
1977.090527,0.006944444,different regions,different primers
1977.246899,0.010377032,different regions,different primers
1977.246899,0.009678534,different regions,different primers
1977.246899,0.009612084,different regions,different primers
1977.246899,0.008298755,different regions,different primers
1977.090527,0.014349163,different regions,different primers
1977.090527,0.012328767,different regions,different primers
1977.090527,0.008962427,different regions,different primers
1977.246899,0.01362862,different regions,different primers
1977.246899,0.011635866,different regions,different primers
1977.246899,0.015556307,different regions,different primers
1977.246899,0.014368799,different regions,different primers
0.173,0.043575777,FennoScandian Shield,different primers
0.245,0.03195739,FennoScandian Shield,different primers
0.214,0.583370888,FennoScandian Shield,v6
0.062,0.554751568,FennoScandian Shield,v6
0.087,0.632408759,FennoScandian Shield,v6
0.163,0.587030717,FennoScandian Shield,v6
0.288,0.674506388,FennoScandian Shield,v6
0.049,0.6041326,FennoScandian Shield,v6
0.17,0.289002558,FennoScandian Shield,v6
0.183,0.23229246,FennoScandian Shield,v6
0.095,0.608941037,FennoScandian Shield,v6
0.105,0.59516429,FennoScandian Shield,v6
0.182,0.575360207,FennoScandian Shield,v6
8437.426088,0.01975968,different regions,different primers
8437.426088,0.033692092,different regions,different primers
8437.426088,0.029225524,different regions,different primers
8437.426088,0.040511213,different regions,different primers
8437.426088,0.045944679,different regions,different primers
8437.426088,0.040215792,different regions,different primers
8437.426088,0.04975978,different regions,different primers
8437.426088,0.057302816,different regions,different primers
8437.426088,0.033057851,different regions,different primers
7168.368635,0.002316155,different regions,different primers
7580.591277,0.031045752,different regions,different primers
7580.591277,0.036021505,different regions,different primers
7580.591277,0.028516589,different regions,different primers
7580.591277,0.033040785,different regions,different primers
7580.591277,0.017275007,different regions,different primers
7580.591277,0.015033408,different regions,different primers
9929.14603,0.501685772,different regions,v6
9929.14603,0.507750188,different regions,v6
9731.079829,0.641168069,different regions,v6
9934.233625,0.55136876,different regions,v6
9900.272406,0.632480995,different regions,v6
9554.223656,0.578609327,different regions,v6
9730.357717,0.576452119,different regions,v6
1977.090527,0.00627138,different regions,different primers
1977.090527,0.004591105,different regions,different primers
1977.090527,0.006291107,different regions,different primers
1977.246899,0.006841505,different regions,different primers
1977.246899,0.007407407,different regions,different primers
1977.246899,0.007932011,different regions,different primers
1977.246899,0.006269592,different regions,different primers
1977.090527,0.014672686,different regions,different primers
1977.090527,0.013005372,different regions,different primers
1977.090527,0.011370097,different regions,different primers
1977.246899,0.015765766,different regions,different primers
1977.246899,0.012432891,different regions,different primers
1977.246899,0.017907107,different regions,different primers
