x,similarity,locality,primer,log10x,adjusted
0.276,0.519191185,FennoScandian Shield,v6,-0.559090918,2.440909082
0.214,0.583370888,FennoScandian Shield,v6,-0.669586227,2.330413773
0.127,0.576827897,FennoScandian Shield,v6,-0.896196279,2.103803721
0.051,0.583078011,FennoScandian Shield,v6,-1.292429824,1.707570176
0.502,0.573476703,FennoScandian Shield,v6,-0.299296283,2.700703717
0.263,0.604996008,FennoScandian Shield,v6,-0.580044252,2.419955748
0.044,0.31703854,FennoScandian Shield,v6,-1.356547324,1.643452676
0.397,0.219967087,FennoScandian Shield,v6,-0.401209493,2.598790507
0.119,0.558759831,FennoScandian Shield,v6,-0.924453039,2.075546961
0.109,0.581959491,FennoScandian Shield,v6,-0.962573502,2.037426498
0.032,0.523061945,FennoScandian Shield,v6,-1.494850022,1.505149978
0.276,0.519191185,FennoScandian Shield,v6,-0.559090918,2.440909082
0.062,0.554751568,FennoScandian Shield,v6,-1.207608311,1.792391689
0.149,0.568907428,FennoScandian Shield,v6,-0.826813732,2.173186268
0.225,0.544518785,FennoScandian Shield,v6,-0.647817482,2.352182518
0.226,0.563865412,FennoScandian Shield,v6,-0.645891561,2.354108439
0.013,0.572831424,FennoScandian Shield,v6,-1.886056648,1.113943352
0.232,0.270720533,FennoScandian Shield,v6,-0.634512015,2.365487985
0.121,0.26364617,FennoScandian Shield,v6,-0.91721463,2.08278537
0.157,0.575212557,FennoScandian Shield,v6,-0.804100348,2.195899652
0.167,0.600514139,FennoScandian Shield,v6,-0.777283529,2.222716471
0.244,0.632733813,FennoScandian Shield,v6,-0.612610174,2.387389826
0.214,0.583370888,FennoScandian Shield,v6,-0.669586227,2.330413773
0.062,0.554751568,FennoScandian Shield,v6,-1.207608311,1.792391689
0.087,0.632408759,FennoScandian Shield,v6,-1.060480747,1.939519253
0.163,0.587030717,FennoScandian Shield,v6,-0.787812396,2.212187604
0.288,0.674506388,FennoScandian Shield,v6,-0.540607512,2.459392488
0.049,0.6041326,FennoScandian Shield,v6,-1.30980392,1.69019608
0.17,0.289002558,FennoScandian Shield,v6,-0.769551079,2.230448921
0.183,0.23229246,FennoScandian Shield,v6,-0.73754891,2.26245109
0.095,0.608941037,FennoScandian Shield,v6,-1.022276395,1.977723605
0.105,0.59516429,FennoScandian Shield,v6,-0.978810701,2.021189299
0.182,0.575360207,FennoScandian Shield,v6,-0.739928612,2.260071388
0.127,0.576827897,FennoScandian Shield,v6,-0.896196279,2.103803721
0.149,0.568907428,FennoScandian Shield,v6,-0.826813732,2.173186268
0.087,0.632408759,FennoScandian Shield,v6,-1.060480747,1.939519253
0.076,0.599071207,FennoScandian Shield,v6,-1.119186408,1.880813592
0.375,0.607649957,FennoScandian Shield,v6,-0.425968732,2.574031268
0.136,0.616229046,FennoScandian Shield,v6,-0.866461092,2.133538908
0.083,0.293847332,FennoScandian Shield,v6,-1.080921908,1.919078092
0.27,0.251424231,FennoScandian Shield,v6,-0.568636236,2.431363764
