no. of analyses,Year,Lat oN,Long oE,Min. Depth (mbls.),Max. Depth (mbls.),Depth,cellsPer_rounded,cellsPer,S.D. (cells/gram or cells/mL),MethodTC,MethodDescription,MethodCM,T (oC),pH,Eh,Salinity (M),Ionic Strength (M),SOC  (ppm),DOC (ppm),NH4 or N (ppm),NO3 (ppm),porosity (%),conductivity (m/sec),Biomass Correlation?,Most Abundance Isolates or Phyla,gas concentrations,Sample_Type,Simplified_Rock_Type,rock type,Formation,Formation age,Citation,Na (M),Cl (M),Ca (M),,TDS ppm,meanHF,medianHF,mast,tcon,z85med,z122med,z85mean,z122mean,rechargeFull,rechargeType,rechargeVolume,crustTypeCompleteInfo,crustTypeMin1,crustType,crustTypeFull,crustScheme2,combined_cv,combined_cr_icefull,combined_cr,rechargeShort,crust
1,1951,52.6333,49,300,2093,560,3.50E+07,35000000,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,Vitorye Baku,,Ekzertsev 1951 Mikrobiologiya 20:324-329; Ekzertsev 1956,,,,,,46,46,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton
1,1951,52.6333,49,,,675,9.40E+07,94000000,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46,46,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton
1,1951,52.6333,49,,,588,1.05E+08,105000000,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46,46,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton
1,1951,52.6333,49,,,730,1.17E+08,117000000,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46,46,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton
1,1951,52.6333,49,,,748,7.00E+07,70000000,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46,46,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton
1,1951,52.6333,49,,,1910,4.70E+07,47000000,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46,46,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton
1,1951,52.6333,49,,,872,2.30E+07,23000000,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46,46,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton
1,1951,52.6333,49,,,1018,1.20E+07,12000000,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46,46,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton
1,1951,52.6333,49,,,1078,3.50E+07,35000000,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46,46,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton
1,1951,52.6333,49,,,1085,7.00E+07,70000000,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46,46,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton
1,1951,52.6333,49,,,2090,7.00E+07,70000000,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46,46,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton
1,1983,34.7003,-96.4319,1,8,1.2,6.80E+06,6800000,4.90E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17,5.4,,,,"1,200",,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",Quaternary,"Wilson et al. Ground Water 21:134-142, 1983; ",,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton
1,1983,34.7003,-96.4319,,,3,3.40E+06,3400000,2.30E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17,5.4,,,,400,,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton
1,1983,34.7003,-96.4319,,,5,6.80E+06,6800000,4.30E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17,5.4,,,,400,,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton
1,1983,34.7003,-96.4319,,,1.2,9.80E+06,9800000,1.30E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17,5.4,,,,"1,200",,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton
1,1983,34.7003,-96.4319,,,3,3.70E+06,3700000,1.10E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17,5.4,,,,400,,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton
1,1983,34.7003,-96.4319,,,5,3.40E+06,3400000,1.10E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17,5.4,,,,400,,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton
