no. of analyses,Year,Lat oN,N,"""N",Long oE,E,"""E",Lat oN,Long oE,Min. Depth (mbls.),Max. Depth (mbls.),Depth_in_m,cells_per_g_or_mL,S.D. (cells/gram or cells/mL),Method,Method_Details,MethodCM,Portion_of_Biomass,T (oC),pH,Eh,Salinity (M),Ionic Strength (M),TOC or SOC  (ppm),DOC (ppm),NH4 or N (ppm),NO3 (ppm),porosity (%),,conductivity (m/sec),Biomass Correlation?,Most Abundance Isolates or Phyla,gas concentrations,Locality,Sample_Type,Sample_Type_Full,Rock_Type,rock color,Formation,Formation age,Citation,,rechargeFull,rechargeType,rechargeVolume,crustTypeFull,crustTypeCompleteInfo
1,1951,52,38,,49,,,52.6333,49,300,2093,560,35000000,,Giesma's stain,,direct,total,54.5,,,,,,,,,,,,,,,,core,core,sandstone,,Vitorye Baku,,Ekzertsev 1951 Mikrobiologiya 20:324-329; Ekzertsev 1956,,major 20-100 mm/a,major,low,D-,Craton
1,1951,52,38,,49,,,52.6333,49,,,675,94000000,,Giesma's stain,,direct,total,4.3,,,,,,,,,,,,,,,,core,core,sandstone,,,,Ekzertsev 1951 Mikrobiologiya 20:324-329; Ekzertsev 1956,,major 20-100 mm/a,major,low,D-,Craton
1,1951,52,38,,49,,,52.6333,49,,,588,105000000,,Giesma's stain,,direct,total,4.3,,,,,,,,,,,,,,,,core,core,sandstone,,,,Ekzertsev 1951 Mikrobiologiya 20:324-329; Ekzertsev 1956,,major 20-100 mm/a,major,low,D-,Craton
1,1951,52,38,,49,,,52.6333,49,,,730,117000000,,Giesma's stain,,direct,total,4.3,,,,,,,,,,,,,,,,core,core,sandstone,,,,Ekzertsev 1951 Mikrobiologiya 20:324-329; Ekzertsev 1956,,major 20-100 mm/a,major,low,D-,Craton
1,1951,52,38,,49,,,52.6333,49,,,748,70000000,,Giesma's stain,,direct,total,4.3,,,,,,,,,,,,,,,,core,core,sandstone,,,,Ekzertsev 1951 Mikrobiologiya 20:324-329; Ekzertsev 1956,,major 20-100 mm/a,major,low,D-,Craton
1,1951,52,38,,49,,,52.6333,49,,,1910,47000000,,Giesma's stain,,direct,total,4.3,,,,,,,,,,,,,,,,core,core,sandstone,,,,Ekzertsev 1951 Mikrobiologiya 20:324-329; Ekzertsev 1956,,major 20-100 mm/a,major,low,D-,Craton
1,1951,52,38,,49,,,52.6333,49,,,872,23000000,,Giesma's stain,,direct,total,4.3,,,,,,,,,,,,,,,,core,core,sandstone,,,,Ekzertsev 1951 Mikrobiologiya 20:324-329; Ekzertsev 1956,,major 20-100 mm/a,major,low,D-,Craton
1,1951,52,38,,49,,,52.6333,49,,,1018,12000000,,Giesma's stain,,direct,total,4.3,,,,,,,,,,,,,,,,core,core,sandstone,,,,Ekzertsev 1951 Mikrobiologiya 20:324-329; Ekzertsev 1956,,major 20-100 mm/a,major,low,D-,Craton
1,1951,52,38,,49,,,52.6333,49,,,1078,35000000,,Giesma's stain,,direct,total,4.3,,,,,,,,,,,,,,,,core,core,sandstone,,,,Ekzertsev 1951 Mikrobiologiya 20:324-329; Ekzertsev 1956,,major 20-100 mm/a,major,low,D-,Craton
1,1951,52,38,,49,,,52.6333,49,,,1085,70000000,,Giesma's stain,,direct,total,4.3,,,,,,,,,,,,,,,,core,core,sandstone,,,,Ekzertsev 1951 Mikrobiologiya 20:324-329; Ekzertsev 1956,,major 20-100 mm/a,major,low,D-,Craton
1,1951,52,38,,49,,,52.6333,49,,,2090,70000000,,Giesma's stain,,direct,total,4.3,,,,,,,,,,,,,,,,core,core,sandstone,,,,Ekzertsev 1951 Mikrobiologiya 20:324-329; Ekzertsev 1956,,major 20-100 mm/a,major,low,D-,Craton
1,1983,34,42,1,-96,-25,-55,34.7003,-96.4319,1,8,1.2,6800000,4.90E+06,AODC,cells desorbed with Na pyrophosphate ,direct,total,17,5.4,,,,"1,200",,,,,,,,,,,core,core,sand,,"Lula, Oklahoma site",Quaternary,"Wilson et al. Ground Water 21:134-142, 1983; ",,shallow >=100 mm/a,shallow,high,H1,Craton
1,1983,34,42,1,-96,-25,-55,34.7003,-96.4319,,,3,3400000,2.30E+06,AODC,cells desorbed with Na pyrophosphate ,direct,total,17,5.4,,,,400,,,,,,,,,,,core,core,sand,,"Lula, Oklahoma site",,"Wilson et al. Ground Water 21:134-142, 1983; ",,shallow >=100 mm/a,shallow,high,H1,Craton
1,1983,34,42,1,-96,-25,-55,34.7003,-96.4319,,,5,6800000,4.30E+06,AODC,cells desorbed with Na pyrophosphate ,direct,total,17,5.4,,,,400,,,,,,,,,,,core,core,sand,,"Lula, Oklahoma site",,"Wilson et al. Ground Water 21:134-142, 1983; ",,shallow >=100 mm/a,shallow,high,H1,Craton
1,1983,34,42,1,-96,-25,-55,34.7003,-96.4319,,,1.2,9800000,1.30E+06,AODC,cells desorbed with Na pyrophosphate ,direct,total,17,5.4,,,,"1,200",,,,,,,,,,,core,core,sand,,"Lula, Oklahoma site",,"Wilson et al. Ground Water 21:134-142, 1983; ",,shallow >=100 mm/a,shallow,high,H1,Craton
1,1983,34,42,1,-96,-25,-55,34.7003,-96.4319,,,3,3700000,1.10E+06,AODC,cells desorbed with Na pyrophosphate ,direct,total,17,5.4,,,,400,,,,,,,,,,,core,core,sand,,"Lula, Oklahoma site",,"Wilson et al. Ground Water 21:134-142, 1983; ",,shallow >=100 mm/a,shallow,high,H1,Craton
